STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US35,New Mexico,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,1340258,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US08,Colorado,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,3896691,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US22,Louisiana,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,2994446,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US28,Mississippi,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,1895556,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US50,Vermont,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,417001,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US44,Rhode Island,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,728657,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US19,Iowa,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,2021065,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US54,West Virginia,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,1126798,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US10,Delaware,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,626099,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US25,Massachusetts,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,4702788,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US41,Oregon,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,2751864,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US13,Georgia,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,7105709,,USA,United States,A,Normal value,0,Units,0,Zero
