"year","state","n_jobs","population","jobs_per_cap"
2017,"Alabama",1251,4877989,0.000256458142894541
2017,"Alaska",109,740983,0.000147101890326769
2017,"Arizona",2994,7048088,0.000424796058164995
2017,"Arkansas",459,3003855,0.000152803647313203
2017,"California",22989,39337785,0.000584399960495996
2017,"Colorado",4144,5617421,0.00073770507854049
2017,"Connecticut",2009,3575324,0.000561907116669706
2017,"Delaware",702,957942,0.000732820984986565
2017,"Florida",6133,20977089,0.000292366590998398
2017,"Georgia",4507,10417031,0.000432656867393406
2017,"Hawaii",186,1425763,0.000130456464363292
2017,"Idaho",370,1719745,0.000215148176037727
2017,"Illinois",6703,12779893,0.000524495784119632
2017,"Indiana",1433,6662068,0.000215098374858978
2017,"Iowa",1193,3143734,0.000379485032766767
2017,"Kansas",782,2910892,0.000268646174437252
2017,"Kentucky",781,4455590,0.000175285427968013
2017,"Louisiana",623,4673673,0.000133299869289101
2017,"Maine",228,1335743,0.000170691517754538
2017,"Maryland",5821,6028186,0.000965630456658106
2017,"Massachusetts",7271,6863560,0.00105936277966536
2017,"Michigan",3450,9976752,0.000345803924964758
2017,"Minnesota",3541,5569283,0.000635808954222653
2017,"Mississippi",286,2990674,9.56306170448534e-05
2017,"Missouri",2851,6111382,0.000466506593762262
2017,"Montana",106,1053862,0.00010058242919851
2017,"Nebraska",659,1916998,0.000343766660163443
2017,"Nevada",542,2972097,0.00018236282328605
2017,"New Hampshire",591,1350395,0.000437649724710177
2017,"New Jersey",6225,8888147,0.000700370954710808
2017,"New Mexico",502,2092844,0.000239864987548045
2017,"New York",9869,19593849,0.00050367847583188
2017,"North Carolina",4934,10275758,0.000480159225236717
2017,"North Dakota",104,756755,0.000137428890459924
2017,"Ohio",4301,11665706,0.000368687501639421
2017,"Oklahoma",534,3933602,0.000135753439214237
2017,"Oregon",2005,4147294,0.000483447761359576
2017,"Pennsylvania",5241,12794679,0.000409623406730251
2017,"Rhode Island",468,1056554,0.000442949437511003
2017,"South Carolina",1109,5027102,0.000220604236794877
2017,"South Dakota",159,873732,0.000181977997829998
2017,"Tennessee",1714,6714748,0.00025525902088954
2017,"Texas",9831,28291024,0.000347495375211587
2017,"Utah",1383,3103540,0.000445620162781856
2017,"Vermont",128,625132,0.000204756755373265
2017,"Virginia",9220,8471011,0.00108841789958719
2017,"Washington",4638,7427951,0.000624398303112123
2017,"District of Columbia",3060,697079,0.00438974635586497
2017,"West Virginia",232,1818683,0.000127564836752749
2017,"Wisconsin",1948,5793147,0.000336259376811947
2017,"Wyoming",45,579994,7.75870095207881e-05
2018,"Alabama",1338,4891628,0.00027352856758527
2018,"Alaska",91,736624,0.00012353656682378
2018,"Arizona",3001,7164228,0.000418886724431439
2018,"Arkansas",554,3012161,0.000183921111786521
2018,"California",28169,39437463,0.000714270083752598
2018,"Colorado",4714,5697155,0.000827430533310047
2018,"Connecticut",1987,3574561,0.000555872455386829
2018,"Delaware",645,966985,0.000667021722157014
2018,"Florida",6184,21254926,0.000290944320389542
2018,"Georgia",4924,10519389,0.000468088022983084
2018,"Hawaii",204,1423102,0.000143348825312592
2018,"Idaho",409,1752074,0.000233437628775954
2018,"Illinois",6982,12724685,0.000548697276199764
2018,"Indiana",1740,6698481,0.000259760384481198
2018,"Iowa",1207,3149900,0.000383186767833899
2018,"Kansas",735,2912748,0.00025233902829905
2018,"Kentucky",774,4464273,0.000173376493776254
2018,"Louisiana",589,4664450,0.000126274265990631
2018,"Maine",245,1340123,0.000182819039744859
2018,"Maryland",5924,6042153,0.000980445215472034
2018,"Massachusetts",8346,6885720,0.0012120736829264
2018,"Michigan",3835,9987286,0.000383988202600787
2018,"Minnesota",3381,5608762,0.000602806822610765
2018,"Mississippi",335,2982879,0.000112307606175108
2018,"Missouri",2814,6125986,0.000459354624708578
2018,"Montana",165,1061818,0.000155393862224976
2018,"Nebraska",641,1925512,0.000332898470640536
2018,"Nevada",637,3030725,0.000210180732333023
2018,"New Hampshire",649,1355064,0.000478944167950739
2018,"New Jersey",5753,8891730,0.000647005700802881
2018,"New Mexico",714,2093754,0.000341014273883178
2018,"New York",10762,19544098,0.000550652171310234
2018,"North Carolina",5248,10391358,0.000505035049316942
2018,"North Dakota",155,760062,0.000203930731966603
2018,"Ohio",4247,11680892,0.000363585246743143
2018,"Oklahoma",589,3943488,0.000149360160345359
2018,"Oregon",1954,4183538,0.0004670687824516
2018,"Pennsylvania",6076,12809107,0.000474350007381467
2018,"Rhode Island",457,1059338,0.000431401497916623
2018,"South Carolina",1095,5091702,0.000215055790774873
2018,"South Dakota",182,879386,0.000206962585258351
2018,"Tennessee",1739,6778180,0.000256558545214202
2018,"Texas",12281,28624564,0.000429037102538924
2018,"Utah",1741,3155153,0.00055179574492901
2018,"Vermont",166,624802,0.000265684168744658
2018,"Virginia",9177,8510920,0.0010782618095341
2018,"Washington",5071,7526793,0.000673726512739224
2018,"District of Columbia",2876,704147,0.0040843744274988
2018,"West Virginia",241,1805953,0.000133447548192007
2018,"Wisconsin",2019,5809319,0.000347545039272245
2018,"Wyoming",70,579054,0.000120886825753729
2019,"Alabama",1304,4907965,0.000265690566253019
2019,"Alaska",84,733603,0.000114503348541377
2019,"Arizona",2082,7291843,0.000285524523772659
2019,"Arkansas",412,3020985,0.000136379359712147
2019,"California",23877,39437610,0.000605437297037016
2019,"Colorado",3659,5758486,0.000635410071327776
2019,"Connecticut",1297,3566022,0.00036371059965418
2019,"Delaware",378,976668,0.000387030188354692
2019,"Florida",4148,21492056,0.000193001544384586
2019,"Georgia",2987,10628020,0.000281049527569575
2019,"Hawaii",211,1415615,0.000149051825531659
2019,"Idaho",338,1789060,0.000188926028193577
2019,"Illinois",4574,12667017,0.000361095276022761
2019,"Indiana",1361,6731010,0.000202198481357181
2019,"Iowa",820,3159596,0.000259526850901191
2019,"Kansas",575,2912635,0.000197415742102941
2019,"Kentucky",642,4472345,0.000143548854124626
2019,"Louisiana",565,4658285,0.000121289272768841
2019,"Maine",227,1345770,0.000168676668375725
2019,"Maryland",5298,6054954,0.000874986003196721
2019,"Massachusetts",7144,6894883,0.00103613070736661
2019,"Michigan",2705,9984795,0.000270911921576757
2019,"Minnesota",2189,5640053,0.000388116920177878
2019,"Mississippi",273,2978227,9.16652760182484e-05
2019,"Missouri",1969,6140475,0.000320659232388374
2019,"Montana",181,1070123,0.000169139435373317
2019,"Nebraska",418,1932571,0.000216292182796906
2019,"Nevada",571,3090771,0.000184743547807327
2019,"New Hampshire",457,1360783,0.000335836059092449
2019,"New Jersey",3339,8891258,0.000375537409891829
2019,"New Mexico",662,2099634,0.000315293046311881
2019,"New York",7718,19463131,0.000396544625836408
2019,"North Carolina",3505,10501384,0.000333765530333906
2019,"North Dakota",168,763724,0.000219974755278085
2019,"Ohio",3083,11696507,0.000263582965410101
2019,"Oklahoma",483,3960676,0.000121948879433713
2019,"Oregon",1309,4216116,0.000310475328477679
2019,"Pennsylvania",3849,12798883,0.000300729368336284
2019,"Rhode Island",313,1058158,0.000295797035981394
2019,"South Carolina",698,5157702,0.00013533158759463
2019,"South Dakota",165,887127,0.000185993662688657
2019,"Tennessee",1353,6830325,0.000198087206684894
2019,"Texas",8328,28986794,0.000287303245747012
2019,"Utah",1314,3203383,0.000410191350831293
2019,"Vermont",110,624046,0.00017626905708874
2019,"Virginia",7757,8556642,0.000906547217939
2019,"Washington",4936,7614024,0.000648277441731205
2019,"District of Columbia",2236,708253,0.00315706393054459
2019,"West Virginia",206,1795263,0.00011474641876984
2019,"Wisconsin",1345,5824581,0.000230917897785266
2019,"Wyoming",66,580116,0.0001137703493784
2020,"Alabama",5538,5033094,0.00110031722038174
2020,"Alaska",550,733017,0.000750323662343438
2020,"Arizona",11949,7187135,0.00166255399404631
2020,"Arkansas",2205,3014546,0.000731453426154386
2020,"California",107736,39521958,0.00272597830299804
2020,"Colorado",19058,5787129,0.00329317006757582
2020,"Connecticut",5948,3579918,0.00166149057045441
2020,"Delaware",1894,991928,0.00190941277995984
2020,"Florida",21116,21592035,0.000977953212839827
2020,"Georgia",16616,10732888,0.00154813876749669
2020,"Hawaii",805,1451252,0.000554693464677396
2020,"Idaho",1668,1849415,0.000901906819183363
2020,"Illinois",22361,12799088,0.0017470776042793
2020,"Indiana",5660,6790497,0.000833517782277203
2020,"Iowa",4033,3191141,0.00126381128254753
2020,"Kansas",3589,2938172,0.00122150779464238
2020,"Kentucky",2921,4508318,0.000647913479040298
2020,"Louisiana",2277,4652301,0.000489435227858215
2020,"Maine",1027,1364571,0.000752617489306163
2020,"Maryland",23437,6177935,0.00379366244546115
2020,"Massachusetts",29680,6994598,0.00424327459562365
2020,"Michigan",11794,10072703,0.00117088729807679
2020,"Minnesota",11027,5710735,0.00193092482841526
2020,"Mississippi",1193,2958536,0.000403239980855396
2020,"Missouri",10015,6154744,0.00162720009150665
2020,"Montana",773,1087230,0.000710981117150925
2020,"Nebraska",2761,1963387,0.00140624339470517
2020,"Nevada",2588,3116967,0.000830294321370743
2020,"New Hampshire",2037,1378756,0.00147741877460551
2020,"New Jersey",16818,9272794,0.00181369283087708
2020,"New Mexico",2535,2118606,0.00119654149945766
2020,"New York",32561,20105171,0.00161953360157941
2020,"North Carolina",21015,10449652,0.00201107175626518
2020,"North Dakota",667,779563,0.000855607564751021
2020,"Ohio",14712,11798905,0.0012468953686804
2020,"Oklahoma",2481,3965415,0.000625659609397755
2020,"Oregon",7343,4243779,0.00173029745422653
2020,"Pennsylvania",19203,12996143,0.00147759223640429
2020,"Rhode Island",1887,1096530,0.00172088314957183
2020,"South Carolina",3802,5132249,0.000740805833855684
2020,"South Dakota",619,887948,0.000697112893998297
2020,"Tennessee",7190,6927904,0.001037831933006
2020,"Texas",49746,29239570,0.00170132460908283
2020,"Utah",6796,3284077,0.00206937900664327
2020,"Vermont",587,642977,0.000912940898352507
2020,"Virginia",36376,8637615,0.00421134769262117
2020,"Washington",21448,7727209,0.00277564642033107
2020,"District of Columbia",10996,670917,0.0163895086873637
2020,"West Virginia",854,1791646,0.000476656660969857
2020,"Wisconsin",6834,5897375,0.00115882066173509
2020,"Wyoming",383,577681,0.000662995667158864
2021,"Alabama",21505,5049196,0.00425909392307211
2021,"Alaska",2299,734420,0.00313036137360094
2021,"Arizona",55196,7274078,0.00758804071113892
2021,"Arkansas",9395,3026870,0.00310386637021081
2021,"California",422500,39142565,0.0107938761805722
2021,"Colorado",69495,5814036,0.0119529703634446
2021,"Connecticut",28111,3606607,0.00779430639379339
2021,"Delaware",8682,1005062,0.00863827306176136
2021,"Florida",101750,21831949,0.00466060084695141
2021,"Georgia",80935,10792060,0.00749949499910119
2021,"Hawaii",3201,1447029,0.00221211876195985
2021,"Idaho",7869,1904848,0.00413103827706988
2021,"Illinois",106589,12700641,0.00839241106019767
2021,"Indiana",26824,6815907,0.00393549970678884
2021,"Iowa",16378,3198613,0.00512034434925388
2021,"Kansas",14926,2938338,0.00507974235775462
2021,"Kentucky",13300,4507583,0.00295058349452467
2021,"Louisiana",11253,4627971,0.00243151912576807
2021,"Maine",4672,1378931,0.00338813182095406
2021,"Maryland",86715,6179403,0.0140329090043164
2021,"Massachusetts",129613,7000474,0.01851488913465
2021,"Michigan",52695,10041351,0.00524779982295211
2021,"Minnesota",43655,5718660,0.00763378134038394
2021,"Mississippi",5394,2947209,0.00183020613739982
2021,"Missouri",39488,6171374,0.00639857509851129
2021,"Montana",4071,1106522,0.00367909539982034
2021,"Nebraska",12072,1964537,0.00614495934665522
2021,"Nevada",12911,3148141,0.00410115048849464
2021,"New Hampshire",10799,1387677,0.00778207032328128
2021,"New Jersey",86216,9270541,0.00929999662371376
2021,"New Mexico",9667,2117333,0.00456564933338308
2021,"New York",162299,19848276,0.00817698222253661
2021,"North Carolina",87806,10564320,0.00831156193678344
2021,"North Dakota",4267,777966,0.00548481553178416
2021,"Ohio",63244,11767344,0.00537453481431324
2021,"Oklahoma",11822,3992238,0.00296124629844213
2021,"Oregon",34652,4254280,0.00814520906005247
2021,"Pennsylvania",79887,13015571,0.00613780217556341
2021,"Rhode Island",10647,1097246,0.00970338465576543
2021,"South Carolina",17088,5194274,0.00328977639608538
2021,"South Dakota",4351,896492,0.00485336177009945
2021,"Tennessee",31882,6965740,0.00457697243939625
2021,"Texas",238543,29570351,0.00806696545468804
2021,"Utah",29404,3339738,0.00880428344977959
2021,"Vermont",3665,647210,0.00566276788059517
2021,"Virginia",126626,8658910,0.0146237805913215
2021,"Washington",89626,7743760,0.0115739640691344
2021,"District of Columbia",39104,669256,0.0584290615250368
2021,"West Virginia",5007,1785618,0.00280407119551886
2021,"Wisconsin",29625,5881608,0.00503688787148004
2021,"Wyoming",2501,579636,0.00431477685996039
2022,"Alabama",29976,5076181,0.00590522678367852
2022,"Alaska",3704,734442,0.00504328456161276
2022,"Arizona",67794,7377566,0.00918920955773218
2022,"Arkansas",13659,3047704,0.0044817344466523
2022,"California",544228,39142414,0.0139037924436648
2022,"Colorado",91596,5850935,0.0156549337840875
2022,"Connecticut",39576,3617925,0.0109388668919339
2022,"Delaware",14613,1020625,0.0143176974892835
2022,"Florida",142483,22379312,0.00636672834267649
2022,"Georgia",117035,10931805,0.0107059172753264
2022,"Hawaii",5502,1440359,0.00381988101577454
2022,"Idaho",11306,1944299,0.00581494924391773
2022,"Illinois",140355,12621821,0.0111200277677841
2022,"Indiana",41163,6844545,0.00601398632049318
2022,"Iowa",20873,3202820,0.0065170693326506
2022,"Kansas",20605,2937324,0.00701488838139749
2022,"Kentucky",18207,4519233,0.00402878099004853
2022,"Louisiana",15564,4593687,0.00338812809840984
2022,"Maine",7766,1390922,0.00558334687351268
2022,"Maryland",108522,6192440,0.017524917480024
2022,"Massachusetts",155063,7022468,0.0220809834946916
2022,"Michigan",77197,10050877,0.00768062329287285
2022,"Minnesota",57771,5721621,0.0100969637800197
2022,"Mississippi",8084,2941939,0.00274784759303303
2022,"Missouri",58699,6179414,0.00949912079041799
2022,"Montana",6183,1122095,0.00551022863483038
2022,"Nebraska",16241,1972246,0.00823477395821819
2022,"Nevada",18387,3176116,0.00578914624025067
2022,"New Hampshire",13460,1396678,0.00963715330233597
2022,"New Jersey",132850,9295227,0.0142922814042088
2022,"New Mexico",15498,2113868,0.00733158361827702
2022,"New York",216065,19703747,0.0109656807915774
2022,"North Carolina",125175,10710793,0.0116868097441525
2022,"North Dakota",5719,781057,0.00732212885871326
2022,"Ohio",92513,11777874,0.00785481318614888
2022,"Oklahoma",17740,4026229,0.00440610804800224
2022,"Oregon",40777,4247372,0.00960052474800889
2022,"Pennsylvania",113811,12984990,0.00876481229481116
2022,"Rhode Island",13150,1099498,0.0119600035652634
2022,"South Carolina",25485,5287935,0.00481946166131013
2022,"South Dakota",5205,909723,0.00572152182587447
2022,"Tennessee",44882,7062217,0.0063552281103795
2022,"Texas",338751,30113488,0.0112491452335246
2022,"Utah",37262,3391011,0.0109884633225902
2022,"Vermont",4627,648142,0.00713886771725949
2022,"Virginia",163620,8683414,0.0188428191953073
2022,"Washington",122323,7794123,0.0156942609194133
2022,"District of Columbia",51188,676725,0.0756407698843696
2022,"West Virginia",6523,1774122,0.00367674827323036
2022,"Wisconsin",41432,5903975,0.00701764489178901
2022,"Wyoming",3149,581978,0.0054108574550928
2023,"Alabama",22154,5117673,0.00432892058558646
2023,"Alaska",3272,736510,0.00444257376003041
2023,"Arizona",41937,7473027,0.00561178221355282
2023,"Arkansas",9636,3069463,0.00313931133882376
2023,"California",286950,39198693,0.00732039713671066
2023,"Colorado",54389,5901339,0.00921638292597663
2023,"Connecticut",26500,3643023,0.00727417861484816
2023,"Delaware",9098,1036423,0.00877826910441007
2023,"Florida",96219,22904868,0.00420081006360744
2023,"Georgia",82256,11064432,0.0074342722699186
2023,"Hawaii",3917,1441387,0.0027175213873859
2023,"Idaho",6555,1971122,0.00332551714201353
2023,"Illinois",89022,12642259,0.00704162127986778
2023,"Indiana",30739,6880131,0.00446779283708406
2023,"Iowa",17027,3218414,0.005290494013511
2023,"Kansas",13089,2951500,0.0044346942232763
2023,"Kentucky",12190,4550595,0.00267877057835294
2023,"Louisiana",9712,4588071,0.00211679374621709
2023,"Maine",5259,1399646,0.00375737865145901
2023,"Maryland",76597,6217062,0.0123204497558493
2023,"Massachusetts",88732,7066568,0.0125565904127718
2023,"Michigan",53848,10083356,0.00534028551605239
2023,"Minnesota",35924,5753048,0.00624434212959808
2023,"Mississippi",6154,2943172,0.00209094133812091
2023,"Missouri",37651,6208038,0.00606487911317553
2023,"Montana",4543,1131302,0.00401572701188542
2023,"Nebraska",10835,1987864,0.00545057408353891
2023,"Nevada",11338,3214363,0.00352729296597802
2023,"New Hampshire",9245,1402199,0.00659321537099941
2023,"New Jersey",95037,9379642,0.0101322630437281
2023,"New Mexico",10316,2121164,0.00486336747182207
2023,"New York",127020,19737367,0.00643550884978731
2023,"North Carolina",84985,10881189,0.00781026779334501
2023,"North Dakota",3328,789047,0.0042177462179059
2023,"Ohio",65662,11824034,0.00555326549297812
2023,"Oklahoma",11815,4063882,0.00290731866722508
2023,"Oregon",20321,4253653,0.00477730553009378
2023,"Pennsylvania",76948,13017721,0.00591101929439108
2023,"Rhode Island",7953,1103429,0.00720753215657736
2023,"South Carolina",18519,5387830,0.0034371908542029
2023,"South Dakota",3362,918305,0.00366109299197979
2023,"Tennessee",28549,7148304,0.00399381447683255
2023,"Texas",222327,30727890,0.00723534873367485
2023,"Utah",22144,3443222,0.00643118567434804
2023,"Vermont",2756,648708,0.00424844460065237
2023,"Virginia",122574,8734685,0.0140330189354281
2023,"Washington",59528,7857320,0.00757612010201952
2023,"District of Columbia",35360,687324,0.0514458974224674
2023,"West Virginia",3868,1770495,0.00218469975910692
2023,"Wisconsin",27813,5930405,0.00468989891921378
2023,"Wyoming",1760,585067,0.00300820247937416
2024,"Alabama",18499,5157699,0.00358667692705604
2024,"Alaska",3887,740133,0.00525175880551198
2024,"Arizona",38570,7582384,0.00508679064526408
2024,"Arkansas",10855,3088354,0.0035148172780711
2024,"California",268845,39431263,0.00681806717679827
2024,"Colorado",45300,5957493,0.00760386961428238
2024,"Connecticut",22927,3675069,0.00623852232434275
