"year","state","n_jobs","population","jobs_per_cap","jobs_per_10k","log_jobs_per_10k","jobs_pct"
2023,"Illinois",3248571,12642259,0.256961275670748,2569.61275670748,7.85151048821221,0.56
2022,"Massachusetts",2824396,7022468,0.402194214341739,4021.94214341739,8.29952018520113,0.96
2024,"South Carolina",1482764,5478831,0.270635104459327,2706.35104459327,7.90335652854782,0.62
2023,"Kentucky",986753,4550595,0.216840435151887,2168.40435151887,7.68174685417206,0.24
2024,"Ohio",2971779,11883304,0.250080196551397,2500.80196551397,7.82436674562098,0.48
2022,"Tennessee",2119877,7062217,0.300171603336459,3001.71603336459,8.00693941523578,0.48
2024,"Massachusetts",2190307,7136171,0.306930285162729,3069.30285162729,8.02920573063324,0.82
2022,"Pennsylvania",3891887,12984990,0.299721986693867,2997.21986693867,8.00544042696768,0.44
2022,"California",10150376,39142414,0.259319110977672,2593.19110977672,7.86064448501204,0.26
2021,"California",7501635,39142565,0.19164903986236,1916.4903986236,7.55825087495865,0.28
2021,"Georgia",2285240,10792060,0.211751973209934,2117.51973209934,7.65800074506572,0.42
2024,"New York",3974221,19867248,0.200038827722893,2000.38827722893,7.60109657931409,0.1
2021,"Texas",5566182,29570351,0.188235236030847,1882.35236030847,7.54027752913948,0.26
2021,"Missouri",1439121,6171374,0.233192964808161,2331.92964808161,7.75445137895426,0.68
2024,"Georgia",2564084,11180878,0.229327607366792,2293.27607366792,7.73773667407022,0.3
2024,"Louisiana",1094497,4597740,0.238051085968324,2380.51085968324,7.77507039055789,0.32
2023,"Utah",791842,3443222,0.22997123043475,2299.7123043475,7.74053930902715,0.3
2023,"California",7508546,39198693,0.191550927476077,1915.50927476077,7.55773880608188,0.04
2022,"Utah",1054999,3391011,0.311116360283113,3111.16360283113,8.04275208401736,0.6
2022,"Washington",2556689,7794123,0.328027797354494,3280.27797354494,8.09568344581927,0.78
2022,"Texas",7809357,30113488,0.259330868612762,2593.30868612763,7.86068982439527,0.28
2021,"Kansas",679493,2938338,0.231250795517738,2312.50795517738,7.74608790945737,0.66
2021,"New Hampshire",395561,1387677,0.285052645536389,2850.52645536389,7.95525897738415,0.96
2023,"Alabama",1011378,5117673,0.197624584454693,1976.24584454693,7.58895428582542,0.1
2024,"California",7449422,39431263,0.188921719296691,1889.21719296691,7.54391783864057,0.02
2023,"Washington",1917184,7857320,0.243999735278696,2439.99735278696,7.79975223336328,0.38
2022,"Oregon",1358042,4247372,0.319737004434742,3197.37004434742,8.07008388973336,0.72
2023,"North Dakota",304400,789047,0.385781835556057,3857.81835556057,8.25785710981723,0.98
2022,"Kansas",929402,2937324,0.316411127951836,3164.11127951836,8.05962749878689,0.66
2021,"New York",3636009,19848276,0.183190167246767,1831.90167246767,7.51310987155987,0.2
2022,"Missouri",2019422,6179414,0.326798301586526,3267.98301586526,8.09192825886274,0.74
2022,"Wisconsin",2056032,5903975,0.348245377055289,3482.45377055289,8.15549243077845,0.86
2022,"Connecticut",1102197,3617925,0.304648935508613,3046.48935508613,8.02174517553708,0.56
2022,"New York",4954288,19703747,0.251438876067582,2514.38876067582,7.8297850154908,0.18
2022,"Indiana",2124976,6844545,0.310462711546202,3104.62711546202,8.04064889551736,0.58
2024,"Tennessee",1723638,7227750,0.238475044100861,2384.75044100861,7.77684976095396,0.34
2024,"Virginia",2474042,8811195,0.280783934528744,2807.83934528744,7.94017055029224,0.7
2024,"Washington",2017434,7958180,0.253504444483538,2535.04444483538,7.83796644835103,0.5
2024,"New Jersey",2014832,9500851,0.212068582067017,2120.68582067017,7.65949481566723,0.16
2021,"Pennsylvania",2922222,13015571,0.22451738767358,2245.1738767358,7.71653824783903,0.62
2022,"Iowa",1049640,3202820,0.327723693495107,3277.23693495107,8.09475594848093,0.76
2018,"Georgia",200863,10519389,0.0190945500732029,190.945500732029,5.25198805084891,0.42
2021,"Illinois",3001989,12700641,0.236365156687761,2363.65156687761,7.76796297632509,0.74
2023,"New York",3946087,19737367,0.199929757601407,1999.29757601407,7.60055118585974,0.14
2022,"Alabama",1119764,5076181,0.220591818928442,2205.91818928442,7.69889911357926,0.08
2020,"Florida",1131013,21592035,0.0523810284672102,523.810284672103,6.26112956661186,0.22
2022,"New Jersey",2589926,9295227,0.27862966660201,2786.2966660201,7.93246863324357,0.34
2023,"Mississippi",483287,2943172,0.164206169398187,1642.06169398187,7.4037078617681,0
2023,"New Hampshire",533173,1402199,0.380240607788196,3802.40607788196,8.24338932373161,0.96
2023,"New Jersey",2178129,9379642,0.232218777646311,2322.18777646311,7.75026502740466,0.34
2024,"Minnesota",1560538,5793151,0.269376372202278,2693.76372202278,7.89869464786146,0.58
2024,"North Carolina",2728137,11046024,0.246979094016091,2469.79094016091,7.81188878642892,0.42
2024,"Illinois",3164183,12710158,0.248949147603043,2489.49147603043,7.81983374210788,0.46
2024,"Iowa",967343,3241488,0.298425599601171,2984.25599601171,8.0011057471921,0.8
2022,"Illinois",3995874,12621821,0.316584587913265,3165.84587913265,8.06017555926005,0.68
2023,"Texas",6378007,30727890,0.207564105442971,2075.64105442971,7.63802532684591,0.18
2022,"Ohio",3717805,11777874,0.315660109795707,3156.60109795707,8.05725112579377,0.64
2021,"Virginia",2091294,8658910,0.241519313631854,2415.19313631854,7.78953453651982,0.84
2018,"Virginia",192356,8510920,0.022601081904189,226.01081904189,5.42058286999323,0.82
2022,"North Carolina",3340337,10710793,0.311866450971464,3118.66450971464,8.04516014740938,0.62
2023,"Colorado",1754253,5901339,0.297263553237664,2972.63553237664,7.99720422294236,0.86
2022,"Maine",440432,1390922,0.316647518696232,3166.47518696232,8.06037431981725,0.7
2024,"Connecticut",881219,3675069,0.239782980945392,2397.82980945392,7.78231936119808,0.36
2023,"Ohio",3061183,11824034,0.258894976113905,2588.94976113905,7.85900757482748,0.6
2018,"Texas",488711,28624564,0.0170731334108705,170.731334108705,5.14009117539602,0.24
2021,"Arkansas",508925,3026870,0.168135730969615,1681.35730969615,7.42735666864184,0.1
2020,"New Jersey",529516,9272794,0.0571042557399636,571.042557399636,6.34746373822656,0.32
2021,"Oklahoma",721559,3992238,0.180740476895416,1807.40476895416,7.49964726603589,0.16
2021,"Ohio",2683691,11767344,0.228062594243867,2280.62594243867,7.73220522042764,0.64
2024,"Florida",4445330,23372215,0.190197206383734,1901.97206383734,7.55064655521479,0.06
2021,"Florida",4218680,21831949,0.193234236668472,1932.34236668471,7.56648820750185,0.32
2021,"Minnesota",1527381,5718660,0.267087219733294,2670.87219733294,7.89016036371845,0.92
2023,"Minnesota",1712591,5753048,0.297684114577177,2976.84114577177,7.99861799908543,0.88
2024,"Idaho",423287,2001619,0.211472313162495,2114.72313162495,7.65667917587818,0.14
2024,"Indiana",1874542,6924275,0.270720328120995,2707.20328120995,7.90367138144203,0.64
2022,"Rhode Island",331500,1099498,0.301501230561584,3015.01230561584,8.01135919061758,0.5
2021,"Oregon",995241,4254280,0.233938762845887,2339.38762845887,7.75764447686325,0.7
2018,"South Carolina",97689,5091702,0.0191859225068553,191.859225068553,5.25676190033522,0.44
2021,"Indiana",1513243,6815907,0.222016380211761,2220.1638021176,7.70533625688202,0.58
2020,"California",2103660,39521958,0.0532276260199457,532.276260199457,6.27716264064849,0.26
2019,"Arkansas",20438,3020985,0.00676534309173995,67.6534309173995,4.21439806903515,0.02
2024,"Texas",6325562,31290831,0.202153851394998,2021.53851394998,7.61161414106356,0.12
2020,"Alabama",234481,5033094,0.0465878443756465,465.878443756465,6.14392474979027,0.14
2020,"Pennsylvania",841456,12996143,0.0647465944319018,647.465944319018,6.47306619654419,0.68
2023,"Virginia",2461006,8734685,0.281750973274938,2817.50973274938,7.94360870029994,0.7
2023,"Wisconsin",1741498,5930405,0.293655829576563,2936.55829576564,7.98499352689072,0.78
2021,"Tennessee",1467263,6965740,0.210639932010095,2106.39932010095,7.6527352854043,0.38
2023,"Pennsylvania",3303431,13017721,0.253764157335988,2537.64157335988,7.8389904142508,0.52
2023,"Michigan",2204896,10083356,0.218666880352137,2186.66880352137,7.69013457048969,0.26
2018,"Utah",67035,3155153,0.0212461963017324,212.461963017324,5.35876297477696,0.7
2024,"Kentucky",983112,4588372,0.214261616102618,2142.61616102618,7.66978286651735,0.18
2020,"North Carolina",652275,10449652,0.0624207389872888,624.207389872888,6.43648266871708,0.56
2024,"Alabama",1030259,5157699,0.199751672208867,1997.51672208867,7.59966004911411,0.08
2020,"Texas",1515021,29239570,0.0518140656651244,518.140656651243,6.25024674333649,0.2
2020,"Wisconsin",412761,5897375,0.0699906314249984,699.906314249984,6.55094648930073,0.86
2021,"District of Columbia",423855,669256,0.633322674731344,6333.22674731344,8.75356513996729,1
2019,"California",377796,39437610,0.00957958659259524,95.7958659259524,4.56221953087192,0.36
2023,"Iowa",951728,3218414,0.295713354465895,2957.13354465895,7.99197568104404,0.84
2022,"Georgia",3127624,10931805,0.286103164116081,2861.03164116081,7.95893755246495,0.38
2021,"North Carolina",2351617,10564320,0.222599940175989,2225.99940175989,7.70796126308428,0.6
2022,"North Dakota",309702,781057,0.396516515439974,3965.16515439974,8.28530278626573,0.94
