"from_country","to_country","move_year","n_moves","n_unique_movers"
"India","United States",2024,1044,1042
"India","United States",2023,931,928
"India","United States",2022,753,750
"India","United States",2021,541,538
"India","United States",2020,504,502
"United States","India",2021,315,313
"India","United States",2019,297,296
"United States","India",2024,289,289
"United States","India",2023,269,269
"Canada","United States",2024,243,242
"United Kingdom","United States",2024,240,240
"United States","India",2022,235,233
"Canada","United States",2022,226,226
"United States","United Kingdom",2024,225,224
"United States","India",2020,215,213
"United States","United Kingdom",2023,192,192
"United Kingdom","United States",2022,191,191
"Canada","United States",2023,187,186
"India","United States",2018,186,186
"United Kingdom","United States",2023,181,181
"China","United States",2024,177,176
"China","United States",2022,167,167
"Canada","United States",2021,164,164
"United States","Canada",2023,162,162
"United States","Canada",2024,156,156
"United Kingdom","United States",2021,153,153
"India","Canada",2023,144,144
"United States","United Kingdom",2022,143,141
"United States","United Kingdom",2021,141,141
"United States","Canada",2022,141,141
"China","United States",2023,139,139
"United States","India",2019,136,136
"China","United States",2019,133,133
"Canada","United States",2020,131,130
"United States","Canada",2021,131,131
"United States","United Kingdom",2020,123,123
"China","United States",2020,120,120
"Pakistan","United States",2023,117,116
"United States","Canada",2020,117,117
"India","United Kingdom",2024,112,112
"China","United States",2021,112,112
"India","Canada",2024,110,110
"Canada","United States",2019,109,109
"India","United Kingdom",2023,108,108
"India","United Kingdom",2022,105,104
"United Kingdom","United States",2020,105,105
"India","Canada",2022,104,104
"China","United States",2018,100,100
"Germany","United States",2024,98,98
"United Kingdom","United States",2019,98,96
"United States","Germany",2023,96,95
"Germany","United States",2022,96,96
"United States","China",2021,94,94
"India","United Kingdom",2021,94,93
"Pakistan","United States",2024,92,92
"United States","Canada",2019,91,90
"India","United States",2017,91,91
"Germany","United States",2023,90,89
"United States","India",2018,90,90
"United States","United Kingdom",2019,86,84
"Netherlands","United States",2019,85,85
"India","Canada",2021,83,83
"France","United States",2023,81,81
"United States","Canada",2018,80,80
"Germany","United States",2021,80,80
"United States","China",2018,78,78
"India","Germany",2022,76,76
"United States","Netherlands",2017,74,74
"United States","Netherlands",2022,74,74
"United States","Germany",2024,74,74
"France","United States",2022,73,73
"United States","Netherlands",2018,73,73
"United States","Netherlands",2020,72,72
"Pakistan","United States",2022,72,69
"Netherlands","United States",2017,71,70
"United States","United Kingdom",2018,71,71
"United States","Netherlands",2019,70,70
"Germany","United States",2020,70,70
"United Kingdom","United States",2018,69,68
"Netherlands","United States",2016,67,66
"United States","Netherlands",2016,67,67
"United States","Netherlands",2021,67,66
"France","United States",2021,66,66
"Netherlands","United States",2018,66,66
"United States","China",2024,66,65
"France","United States",2024,65,64
"United States","China",2019,65,64
"United States","Netherlands",2014,65,65
"United States","France",2024,65,64
"Egypt","United States",2024,64,63
"Canada","United States",2018,64,64
"United States","France",2022,64,64
"Japan","United States",2024,62,62
