"state","year","population"
"Alabama",2010,4785514
"Alabama",2011,4799642
"Alabama",2012,4816632
"Alabama",2013,4831586
"Alabama",2014,4843737
"Alabama",2015,4854803
"Alabama",2016,4866824
"Alabama",2017,4877989
"Alabama",2018,4891628
"Alabama",2019,4907965
"Alabama",2020,5033094
"Alabama",2021,5049196
"Alabama",2022,5076181
"Alabama",2023,5117673
"Alabama",2024,5157699
"Alaska",2010,713982
"Alaska",2011,722349
"Alaska",2012,730810
"Alaska",2013,737626
"Alaska",2014,737075
"Alaska",2015,738430
"Alaska",2016,742575
"Alaska",2017,740983
"Alaska",2018,736624
"Alaska",2019,733603
"Alaska",2020,733017
"Alaska",2021,734420
"Alaska",2022,734442
"Alaska",2023,736510
"Alaska",2024,740133
"Arizona",2010,6407342
"Arizona",2011,6473416
"Arizona",2012,6556344
"Arizona",2013,6634690
"Arizona",2014,6732873
"Arizona",2015,6832810
"Arizona",2016,6944767
"Arizona",2017,7048088
"Arizona",2018,7164228
"Arizona",2019,7291843
"Arizona",2020,7187135
"Arizona",2021,7274078
"Arizona",2022,7377566
"Arizona",2023,7473027
"Arizona",2024,7582384
"Arkansas",2010,2921998
"Arkansas",2011,2941038
"Arkansas",2012,2952876
"Arkansas",2013,2960459
"Arkansas",2014,2968759
"Arkansas",2015,2979732
"Arkansas",2016,2991815
"Arkansas",2017,3003855
"Arkansas",2018,3012161
"Arkansas",2019,3020985
"Arkansas",2020,3014546
"Arkansas",2021,3026870
"Arkansas",2022,3047704
"Arkansas",2023,3069463
"Arkansas",2024,3088354
"California",2010,37319550
"California",2011,37636311
"California",2012,37944551
"California",2013,38253768
"California",2014,38586706
"California",2015,38904296
"California",2016,39149186
"California",2017,39337785
"California",2018,39437463
"California",2019,39437610
"California",2020,39521958
"California",2021,39142565
"California",2022,39142414
"California",2023,39198693
"California",2024,39431263
"Colorado",2010,5047539
"Colorado",2011,5121900
"Colorado",2012,5193660
"Colorado",2013,5270774
"Colorado",2014,5352637
"Colorado",2015,5454328
"Colorado",2016,5543844
"Colorado",2017,5617421
"Colorado",2018,5697155
"Colorado",2019,5758486
"Colorado",2020,5787129
"Colorado",2021,5814036
"Colorado",2022,5850935
"Colorado",2023,5901339
"Colorado",2024,5957493
"Connecticut",2010,3579173
"Connecticut",2011,3588632
"Connecticut",2012,3595211
"Connecticut",2013,3595792
"Connecticut",2014,3595697
"Connecticut",2015,3588561
"Connecticut",2016,3579830
"Connecticut",2017,3575324
"Connecticut",2018,3574561
"Connecticut",2019,3566022
"Connecticut",2020,3579918
"Connecticut",2021,3606607
"Connecticut",2022,3617925
"Connecticut",2023,3643023
"Connecticut",2024,3675069
"Delaware",2010,899647
"Delaware",2011,907590
"Delaware",2012,915518
"Delaware",2013,924062
"Delaware",2014,933131
"Delaware",2015,942065
"Delaware",2016,949989
"Delaware",2017,957942
"Delaware",2018,966985
"Delaware",2019,976668
"Delaware",2020,991928
"Delaware",2021,1005062
"Delaware",2022,1020625
"Delaware",2023,1036423
"Delaware",2024,1051917
"District of Columbia",2010,605282
"District of Columbia",2011,620290
"District of Columbia",2012,635737
"District of Columbia",2013,651559
"District of Columbia",2014,663603
"District of Columbia",2015,677014
"District of Columbia",2016,687576
"District of Columbia",2017,697079
"District of Columbia",2018,704147
"District of Columbia",2019,708253
"District of Columbia",2020,670917
"District of Columbia",2021,669256
"District of Columbia",2022,676725
"District of Columbia",2023,687324
"District of Columbia",2024,702250
"Florida",2010,18846143
"Florida",2011,19055607
"Florida",2012,19302016
"Florida",2013,19551678
"Florida",2014,19853880
"Florida",2015,20219111
"Florida",2016,20627237
"Florida",2017,20977089
"Florida",2018,21254926
"Florida",2019,21492056
"Florida",2020,21592035
"Florida",2021,21831949
"Florida",2022,22379312
"Florida",2023,22904868
"Florida",2024,23372215
"Georgia",2010,9712209
"Georgia",2011,9803630
"Georgia",2012,9903580
"Georgia",2013,9975592
"Georgia",2014,10071204
"Georgia",2015,10183353
"Georgia",2016,10308442
"Georgia",2017,10417031
"Georgia",2018,10519389
"Georgia",2019,10628020
"Georgia",2020,10732888
"Georgia",2021,10792060
"Georgia",2022,10931805
"Georgia",2023,11064432
"Georgia",2024,11180878
"Hawaii",2010,1364004
"Hawaii",2011,1379562
"Hawaii",2012,1395199
"Hawaii",2013,1408822
"Hawaii",2014,1415335
"Hawaii",2015,1422999
"Hawaii",2016,1428885
"Hawaii",2017,1425763
"Hawaii",2018,1423102
"Hawaii",2019,1415615
"Hawaii",2020,1451252
"Hawaii",2021,1447029
"Hawaii",2022,1440359
"Hawaii",2023,1441387
"Hawaii",2024,1446146
"Idaho",2010,1570819
"Idaho",2011,1584272
"Idaho",2012,1595910
"Idaho",2013,1612053
"Idaho",2014,1632248
"Idaho",2015,1652495
"Idaho",2016,1684036
"Idaho",2017,1719745
"Idaho",2018,1752074
"Idaho",2019,1789060
"Idaho",2020,1849415
"Idaho",2021,1904848
"Idaho",2022,1944299
"Idaho",2023,1971122
"Idaho",2024,2001619
"Illinois",2010,12840545
"Illinois",2011,12867783
"Illinois",2012,12883029
"Illinois",2013,12895778
"Illinois",2014,12885092
"Illinois",2015,12859585
"Illinois",2016,12821709
"Illinois",2017,12779893
"Illinois",2018,12724685
"Illinois",2019,12667017
"Illinois",2020,12799088
"Illinois",2021,12700641
"Illinois",2022,12621821
